UniqID,Island,Country.Territory,Region,Subregion,Lon,Lat,SiteName,Material,Type,Provenience,LabNo,Age,Error,d13C,Reference,calCurves,MapNo,CalibLon,CalibLat,DeltaR,DeltaErr,CalibReference,CalibLocality
1,Abaco,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Gilpin Point,Crocodylus rhombifer post orbital bone,faunal material,�,Beta-338510,1020,30,-19.4,Steadman et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
2,Abaco,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Gilpin Point,Chelonoidis alburyorum left first costal,faunal material,�,Beta-338511,1010,30,-21.6,Steadman et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
3,Abaco,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Gilpin Point,Chelonia mydas left first costal,faunal material,�,Beta-338512,1340,30,-9.6,Steadman et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
4,Abaco,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Gilpin Point,Conocarpus erectus,wood,�,Beta-338518,900,30,-28.4,Steadman et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
5,Abaco,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Gilpin Point,Sabal Palmetto,wood,�,Beta-345519,990,30,-28,Steadman et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
6,Abaco,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Sawmill Sink,human bone collagen-tibia,human bone/teeth,peat,Beta-228852,870,30,-14.7,Steadman et al. 2007,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
7,Andros,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Sanctuary Cave,human bone collagen-radius,human bone/teeth,�,Beta-268510,520,40,-14.8,Hastings et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
8,Andros,Bahamas,Bahamian Archipelago,,-78.03972995,24.70381829,Stargate Cave,human bone collagen-radius,human bone/teeth,�,Beta-268511,620,40,-16,Hastings et al. 2014,intcal20,297,-77.62,24.23,0,0,"Lighty, R.G.:1982","Golding Cay, Bahamas"
10,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Barnes Bay (AL14�BB),charcoal,charcoal/charred material,N401 E417-418-L. 19B,Beta-106441,840,80,�,Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
11,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Barnes Bay (AL14�BB),charcoal,charcoal/charred material,N401 E423-L. 22B,Beta-106442,1120,70,�,Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
